Artist,Title,Streams
Drake,Skepta Interlude,10859317
Mykola Dmytrovych Leontovych,Carol of the Bells,10824449
DJ Esco,Too Much Sauce,10815797
BTS,DNA,10745600
Drake,Since Way Back,10716409
XXXTENTACION,Depression & Obsession,10704585
Ed Sheeran,Barcelona,10698564
Billy Currington,Do I Make You Wanna,10665225
Ed Sheeran,Supermarket Flowers,10660690
Michael Bublé,It's Beginning To Look A Lot Like Christmas,10619908
Machine Gun Kelly,Trap Paris (feat. Quavo & Ty Dolla $ign),10557103
Ozuna,Se Preparó,10535928
Calvin Harris,Heatstroke,10514928
José Feliciano,Feliz Navidad,10496807
"Tyler, The Creator",911 / Mr. Lonely,10488322
Anita Kerr Singers,Jingle Bell Rock,10475955
Perry Como,It's Beginning to Look a Lot Like Christmas,10473869
Shawn Hook,Reminding Me,10356925
Future,I'm so Groovy,10197294
Florida Georgia Line,"God, Your Mama, And Me",10097024
Alok,Hear Me Now,9868765
Ariana Grande,Santa Tell Me,9802046
Ed Sheeran,Hearts Don't Break Around Here,9731574
Josh Turner,Hometown Girl,9703651
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),9703634
21 Savage,My Choppa Hate Niggas,9634023
Camila Cabello,Real Friends,9595629
Chuck Berry,Run Rudolph Run - Single Version,9575192
Harry Styles,Sweet Creature,9527316
G-Eazy,Sober,9517151
Big Sean,Halfway Off The Balcony,9502535
Ed Sheeran,Nancy Mulligan,9458068
Big Sean,Sacrifices,9451643
Eartha Kitt,Santa Baby,9430456
Kendrick Lamar,m.A.A.d city,9417319
Danny Ocean,Me Rehúso,9373526
Taylor Swift,Delicate,9371207
Trippie Redd,Dark Knight Dummo (Feat. Travis Scott),9369390
Fall Out Boy,The Last Of The Real Ones,9247972
Flume,Never Be Like You,9221500
Justin Bieber,Mistletoe,9150840
Lil Peep,Save That Shit,9065748
Lorde,Homemade Dynamite,9049559
Mike WiLL Made-It,"Gucci On My (feat. 21 Savage, YG & Migos)",9046555
Drake,Pop Style,9019656
Jax Jones,You Don't Know Me - Radio Edit,8944840
DJ Khaled,Shining,8805637
Lady Gaga,Million Reasons,8789035
Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version,8757263
John Lennon,Happy Xmas (War Is Over) - 2010 Digital Remaster,8694530
Martin Garrix,So Far Away,8637553
XXXTENTACION,Save Me,8443475
Burl Ives,Rudolph The Red-Nosed Reindeer,8390719
Russ,Me You,8374035
Liam Payne,Bedroom Floor,8363705
Huncho Jack,Saint,8355970
Ed Sheeran,Eraser,8308913
Linkin Park,Heavy (feat. Kiiara),8266965
Zara Larsson,TG4M,8214134
6ix9ine,KOODA,8175074
Drake,Still Here,8116134
Big Sean,Pull Up N Wreck (With Metro Boomin),8109843
Jeremih,oui,8065226
Trey Songz,Nobody Else But You,8043836
The Chainsmokers,Roses,8007321
Desiigner,Outlet,8006461
Noah Cyrus,Again,7964269
Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),7961036
Quality Control,Ice Tray,7960309
Huncho Jack,Dubai Shit,7931179
Calvin Harris,This Is What You Came For,7896252
Bebe Rexha,The Way I Are (Dance With Somebody) [feat. Lil Wayne],7894613
Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),7842041
VÉRITÉ,Somebody Else,7825635
Ed Sheeran,Bibia Be Ye Ye,7685882
Keith Urban,Blue Ain't Your Color,7628297
Lil Uzi Vert,UnFazed (feat. The Weeknd),7571186
Pentatonix,Hallelujah,7547168
Migos,Stir Fry,7520541
Kanye West,Famous,7474148
Cash Cash,All My Love (feat. Conor Maynard),7469620
Judy Garland,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording",7432103
Lauv,Easy Love,7351713
The Weeknd,True Colors,7330458
James Arthur,Can I Be Him,7320043
Lana Del Rey,Love,7302531
Ed Sheeran,Save Myself,7302041
Eminem,Rap God,7287165
Lukas Graham,7 Years,7209971
"Tyler, The Creator",See You Again,7144964
Justin Bieber,Love Yourself,7087795
Jaden Smith,Icon,7047504
Drake,Hotline Bling,6993258
Loote,High Without Your Love,6953921
Huncho Jack,Modern Slavery,6936212
The Lumineers,Ophelia,6901333
The Beach Boys,Little Saint Nick,6883609
Dean Martin,Silver Bells,6863158
Katy Perry,Bon Appétit,6848611
Zay Hilfigerrr,Juju On That Beat (TZ Anthem),6831828
MadeinTYO,Skateboard P,6804447
A Boogie Wit da Hoodie,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),6725402
Huncho Jack,Black & Chinese,6606461
Maroon 5,Help Me Out (with Julia Michaels),6568276
Thomas Gold,Magic,6564982
A$AP Ferg,Plain Jane REMIX,6479383
Chance The Rapper,All We Got (feat. Kanye West & Chicago Children's Choir),6398015
YFN Lucci,Everyday We Lit,6334976
Julia Michaels,Uh Huh,6326686
Post Malone,Congratulations - Remix,6302331
